Event,Description
Recusancy,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Does not have the country modifier ""Politicized Recusancy""Base mean time to happen of 1 daysOption ""Target Catholics."":* Changes church power by 50* Changes administrative power stored by -25Option ""Target Puritans."":* Changes church power by 25Option ""Target political threats."":* Adds the modifier ""Politicized Recusancy"" for 10 years:** +20% spy offense"
Prophesying and Sermons,"Trigger:* Has the DLC Rule Britannia* The Reformed religion is enabled* Follows the Anglican religionBase mean time to happen of 1 daysOption ""Ban these nonconformist sermons."":* Changes church power by 33Option ""Let them preach as they wish."":* add_innovativeness_small_effect: yes* One of the following will happen:** Berlin:** Berlin:*** Random owned province:**** Limited to:***** Follows the Anglican religion***** The province is not the capital of the country***** Is not a reformation center**** Changes religion to Reformed"
Parliamentary Debate on Doctrine,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Has a parliamentary government* Does not have the country modifier ""The Commons Decide Doctrine""Base mean time to happen of 1 daysOption ""Pass the reforms exactly as the [Root.Monarch.GetTitle] proposed."":* Changes church power by 10* If:** Limited to:*** Has the DLC Common Sense*** Any owned province:**** Has a seat in parliament**** Is backing the issue currently being debated in parliament** Random owned province:*** Limited to:**** Has a seat in parliament**** Is backing the issue currently being debated in parliament*** Cease backing the current parliamentary issue* else: {** reduce_legitimacy_medium_effect: yesOption ""The Lords win the day."":* Changes church power by -33Option ""The Commons have their way."":* If:** Limited to:*** has_estate: estate_burghers** add_estate_influence_modifier: {*** estate: estate_burghers*** desc: COMMONS_REFORM_CHURCH*** influence: 10*** Lasting 10 years days* else: {** Adds the modifier ""The Commons Decide Doctrine"" for 10 years:*** -1 prestige"
The Marprelate Tracts,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* has_institution: printing_press* Does not have the country modifier ""Ignore the Marprelate Tracts""* Does not have the country modifier ""Pamphlet Wars""* Does not have the country modifier ""Imprison the Marprelates""Base mean time to happen of 1 daysOption ""Ignore this nonsense."":* Changes church power by -25* Adds the modifier ""Ignore the Marprelate Tracts"" for 10 years:** -1% global missionary strengthOption ""Respond in kind, this is a war of pamphlets!"":* Changes administrative power stored by -25* Adds the modifier ""Pamphlet Wars"" for 10 years:** -0.5 prestigeOption ""Find and arrest the authors."":* Changes military power stored by -25* Adds the modifier ""Imprison the Marprelates"" for 10 years:** +1 global unrest"
Prayer Book Rebellions,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Any owned province:** The province is not the capital of the country** Any of the following:*** Follows the Reformed religion*** Follows the Protestant religion*** Follows the Catholic religion* No owned province:** Has the province modifier ""Prayer Book Rebels Appeased""Base mean time to happen of 1 daysImmediate effects:* Hidden effect:** Random owned province:*** Limited to:**** The province is not the capital of the country**** Any of the following:***** Follows the Protestant religion***** Follows the Catholic religion***** Follows the Reformed religion*** save_event_target_as: prayer_book_provinceOption ""Repeal the new edition and make traditionalist concessions."":* Base AI chance of 1* Changes church power by -25* event_target:prayer_book_province: {** area: {*** Limited to:**** The province is owned by our country**** The province is not the capital of the country**** Any of the following:***** Follows the Protestant religion***** Follows the Catholic religion***** Follows the Reformed religion*** Adds the modifier ""Prayer Book Rebels Appeased"" for 10 years:**** -5% missionary strengthOption ""We will not tolerate papist treason!"":* Base AI chance of 1** Multiplies value by 0:*** Any of the following:**** Stability is lower than 1**** 4 war exhaustion**** Has at least 3 rebel armies within their borders* event_target:prayer_book_province: {** Spawns revolt of size 2 of Religious rebels"
Crypto-Catholic Statesman,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Any employed advisor:** Follows the Anglican religion** Is the Statesman advisor typeBase mean time to happen of 1 daysOption ""Theyre too useful, for now."":* If:** Limited to:*** Has the country modifier ""Test Act""** Changes church power by -25* If:** Limited to:*** Does not have the country modifier ""Test Act""** Changes church power by -10Option ""No Catholics in my court!"":* Changes church power by 10* Removes the Statesman advisorOption ""Off with his head!"":* Trigger:** Any of the following:*** ruler_has_personality: cruel_personality*** ruler_has_personality: zealot_personality* highlight: yes* Base AI chance of 100* Changes church power by 20* If:** Limited to:*** Has the Statesman advisor** Kills the Statesman advisor"
Prayers to Saints,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Any owned province:** Any of the following:*** Follows the Anglican religion*** Follows the Catholic religion*** Follows the Reformed religion*** Follows the Protestant religion** Does not have the province modifier ""Religious Zeal""** Does not have the province modifier ""Prayers to Saints Allowed""** Does not have the province modifier ""Prayers to Saints Banned""** In the continent Europe** The province is not the capital of the country* No owned province:** Has the province modifier ""Prayers to Saints Allowed""** Has the province modifier ""Prayers to Saints Banned""Base mean time to happen of 1 daysImmediate effects:* Hidden effect:** Random owned province:*** Limited to:**** Any of the following:***** Follows the Anglican religion***** Follows the Catholic religion***** Follows the Reformed religion***** Follows the Protestant religion**** Does not have the province modifier ""Religious Zeal""**** Does not have the province modifier ""Prayers to Saints Allowed""**** Does not have the province modifier ""Prayers to Saints Banned""**** In the continent Europe**** The province is not the capital of the country*** save_event_target_as: prayers_to_saints_provinceOption ""Its harmless, we can allow this."":* event_target:prayers_to_saints_province: {** area: {*** Limited to:**** The province is owned by our country**** Any of the following:***** Follows the Anglican religion***** Follows the Catholic religion***** Follows the Reformed religion***** Follows the Protestant religion*** Adds the modifier ""Prayers to Saints Allowed"" for 10 years:**** -5 unrestOption ""Uniformity must be enforced"":* Changes church power by 15* event_target:prayers_to_saints_province: {** area: {*** Limited to:**** The province is owned by our country**** Any of the following:***** Follows the Anglican religion***** Follows the Catholic religion***** Follows the Reformed religion***** Follows the Protestant religion*** Adds the modifier ""Prayers to Saints Banned"" for 10 years:**** +2% missionary strength"
Abolition of Feast Days,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Does not have the country modifier ""Feast Days Abolished""* Does not have the country modifier ""Feast Days Restored""Base mean time to happen of 1 daysOption ""Abolish more feast days."":* Changes church power by 15* Adds the modifier ""Feast Days Abolished"" for 10 years:** +3 global unrestOption ""Let them have their fun."":* Changes church power by -10* Adds the modifier ""Feast Days Restored"" for 10 years:** -50% church power gain rate"
Puritans Leaving for the Colonies,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* current_age: age_of_absolutism* Does not have the country modifier ""Puritan Colonists""* Any owned province:** The province is a colony** The province is overseas** Is in the Christian religion group** Any of the following:*** In the continent North America*** In the continent South America*** In the continent The New WorldBase mean time to happen of 1 daysOption ""Let them build their own settlement."":* Random province in the world:** Limited to:*** Has been discovered by our country*** Is uncolonized*** our country% colonial range*** Any bordering province:**** Province owner:***** Is a vassal of our country*** Any of the following:**** In the continent North America**** In the continent South America**** In the continent The New World** Founds a colony** Changes religion to Reformed** Changes culture to our countrys religion** Adds the modifier ""Puritan Settlement"" for 20 years:*** -100% missionary strength*** +20 colonial growthOption ""Integrate them into an established colony."":* Random subject country:** Limited to:*** Is a colonial nation*** Capital:**** Any of the following:***** In the continent North America***** In the continent South America***** In the continent The New World** Random owned province:*** Changes religion to Reformed* Adds the modifier ""Puritan Colonists"" for 10 years:** +10 global settler increase"
Controversy over Vestments,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* has_estate_influence_modifier: {** estate: estate_church** modifier: EST_VAL_VESTMENTS_BANNED* Does not have the country modifier ""Elaborate Vestments""Base mean time to happen of 1 daysOption ""Allow traditional vestments."":* Adds the modifier ""Elaborate Vestments"" for 10 years:** +1 prestigeOption ""Surplices only."":* Changes church power by 25Option ""Denounce all vestments."":* If:** Limited to:*** has_estate: estate_church** add_estate_influence_modifier: {*** estate: estate_church*** desc: EST_VAL_VESTMENTS_BANNED*** influence: -10*** Lasting 10 years days* else: {** increase_legitimacy_small_effect: yes"
