** Trigger:
*** Country is 0 "Mali
*** Stability is lower than 0
*** Year is less than 1550
*** Owns 0 "Trarza
*** Owns 0 "Cayor
*** Owns 0 "Wolof
*** Owns 0 "Siine
*** 0 "Jolof does not exist
*** Does not have the DLC Origins
** Mean time to happen
*** Base mean time to happen of 36 months
** Option: 0 "Mali's decline ends here!:
*** AI chance:
**** Base chance of 90
*** 0 "Trarza:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Cayor:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Wolof:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Siine:
**** Spawns 2 revolt size of nationalist rebels
** Option: 0 "We can make some concessions...:
*** AI chance:
**** Base chance of 10
*** Release 0 "Jolof as a vassal
* Gets the province event:
** ID is flavor_mal.2
** title = flavor_mal.2.t
** desc = flavor_mal.2.d
** picture = HORDE_ON_HORSEBACK_eventPicture
** fire_only_once = yes
** Trigger:
*** Province is 0 "Kantor
*** 0 "Fulo does not exist
*** Year is at least 1470
*** tekrur_area:
**** Is uncolonized
** Mean time to happen
*** Base mean time to happen of 36 months
** Immediate effects:
*** Hidden effect:
**** Every province in the world:
***** Limited to:
****** Any of the following:
******* area = tekrur_area
******* Province is 0 "Trarza
******* Province is 0 "Bambuk
******* Province is 0 "Kantor
******* Province is 0 "Termes
******* Province is 0 "Wagadu
******* Province is 0 "Baghena
***** Gives 0 "Fulo core on the province
***** If:
****** Limited to:
******* The owner of the province:
******** Does not have the country flag fulani_info_flag
****** The owner of the province:
******* Gets the country event:
******** ID is flavor_mal.3
******* Sets the country flag fulani_info_flag
***** Every province in the world:
****** Limited to:
******* Any of the following:
******** area = tekrur_area
******** Province is 0 "Trarza
******** Province is 0 "Bambuk
******** Province is 0 "Kantor
******** Province is 0 "Termes
******** Province is 0 "Wagadu
******** Province is 0 "Baghena
******* Is colonized
****** Adds the modifier "mal_fulani_migration" until the end of the campaign:
******* local_unrest = 5
****** Changes culture to fulani
***** baghena_area:
****** Limited to:
******* Culture is fulani
****** If:
******* Limited to:
******** Has core on 0 "Segu
******** The province is not owned by 0 "Segu
******* Removes core on 0 "Segu
****** Gives 0 "Macina core on the province
** Option: flavor_mal.2.a:
*** Every province in the world:
**** Limited to:
***** Any of the following:
****** area = tekrur_area
****** Province is 0 "Trarza
****** Province is 0 "Bambuk
****** Province is 0 "Kantor
****** Province is 0 "Termes
****** Province is 0 "Wagadu
****** Province is 0 "Baghena
***** Is uncolonized
**** Cedes province to 0 "Fulo
*** Hidden effect:
**** 0 "Fulo:
***** Spawns a ruler:
****** Named "Koli Tengella"
****** Ruler's dynasty is Denianke
****** Changes ruler's military skill by 4
****** Legitimacy of 100
***** If:
****** Limited to:
******* Has the DLC Rights of Man
****** add_ruler_personality_ancestor:
******* Named "conqueror"
***** adopt_reform_progress = our country
***** Capital:
****** build_to_forcelimit:
******* Spawns an infantry unit in 0.7
******* Spawns a cavalry unit in 0.3
****** Changes base tax by 3
****** add_base_production = 3
****** add_base_manpower = 2
***** Changes national manpower reserves by 10 years worth
***** Changes treasury by 300 ducats
** Option: flavor_mal.2.b:
*** Trigger:
**** The owner of the province:
***** Is not AI controlled
*** Every province in the world:
**** Limited to:
***** Any of the following:
****** area = tekrur_area
****** Province is 0 "Trarza
****** Province is 0 "Bambuk
****** Province is 0 "Kantor
****** Province is 0 "Termes
****** Province is 0 "Wagadu
****** Province is 0 "Baghena
***** Is uncolonized
**** Cedes province to 0 "Fulo
*** Hidden effect:
**** 0 "Fulo:
***** Spawns a ruler:
****** Named "Koli Tengella"
****** Ruler's dynasty is Denianke
****** Changes ruler's military skill by 4
****** Legitimacy of 100
***** If:
****** Limited to:
******* Has the DLC Rights of Man
****** add_ruler_personality_ancestor:
******* Named "conqueror"
***** adopt_reform_progress = our country
***** Capital:
****** build_to_forcelimit:
******* Spawns an infantry unit in 0.7
******* Spawns a cavalry unit in 0.3
****** Changes base tax by 3
****** add_base_production = 3
****** add_base_manpower = 2
***** Changes national manpower reserves by 10 years worth
***** Changes treasury by 300 ducats
*** The owner of the province:
**** switch_tag = 0 "Fulo
* Gets the country event:
** ID is flavor_mal.3
** title = flavor_mal.2.t
** desc = flavor_mal.2.d
** picture = HORDE_ON_HORSEBACK_eventPicture
** is_triggered_only = yes
** Trigger:
*** Does not own 0 "Kantor
** Option: 0 "There is no God but God!:
*** Tooltip:
**** Every province in the world:
***** Limited to:
****** Any of the following:
******* area = tekrur_area
******* Province is 0 "Trarza
******* Province is 0 "Bambuk
******* Province is 0 "Kantor
******* Province is 0 "Termes
******* Province is 0 "Wagadu
******* Province is 0 "Baghena
***** Gives 0 "Fulo core on the province
* Gets the country event:
** ID is flavor_mal.4
** title = flavor_mal.4.t
** desc = flavor_mal.4.d
** picture = ECONOMY_eventPicture
** fire_only_once = yes
** Trigger:
*** Country is 0 "Mali
*** 0 "Portugal exists
*** Year is at least 1455
*** Any owned province:
**** Is coastal
**** Has been discovered by 0 "Portugal
** Mean time to happen
*** Base mean time to happen of 180 months
** Option: flavor_mal.4.a:
*** Adds the modifier "mal_portuguese_traders" for the rest of the campaign:
**** -5% cavalry cost
**** Trade efficiency is at least 3%
* Gets the country event:
** ID is flavor_mal.5
** title = flavor_mal.5.t
** desc = flavor_mal.5.d
** picture = ACCUSATION_eventPicture
** fire_only_once = yes
** Trigger:
*** Country is 0 "Mali
*** 0 "Portugal exists
*** Year is at least 1465
*** Has the country modifier "mal_portuguese_traders"
*** Any owned province:
**** Is coastal
** Mean time to happen
*** Base mean time to happen of 300 months
** Option: flavor_mal.5.a:
*** Adds the modifier "mal_wangaras_upset" for the rest of the campaign:
**** Trade efficiency is at least -10%
*** Removes the country modifier "mal_portuguese_traders"
*** 0 "Portugal:
**** Adds the opinion modifier "0 "Trade Conflict" towards 0 "Mali
** Option: flavor_mal.5.b:
*** add_stability_or_adm_power = yes
*** Every owned province:
**** Limited to:
***** Any of the following:
****** Is coastal
****** area = cap_verde_area
****** Province is 0 "Kantor
****** Province is 0 "Futa Jallon
****** Province is 0 "Bambuk
**** Adds the modifier "mal_portuguese_meddling" until the end of the campaign:
***** local_unrest = 3
* Gets the country event:
** ID is flavor_mal.6
** title = flavor_mal.6.t
