** Trigger:
*** Country is 0 "Naples
*** Year is at least 1459
*** Year is less than 1495
*** Legitimacy is less than 90
*** Is not a vassal
*** Ruler is male
*** Is not the lesser partner in a union
*** Has the monarchy government type
*** Is not in regency
*** Does not have the country flag naples_submits_to_the_pope
*** Ruler's dynasty is not de Valois
*** 0 "France exists
*** 0 "France:
**** Is not in regency
**** Is not the lesser partner in a union
** Mean time to happen
*** Base mean time to happen of 36 months
*** AI chance:
**** Base chance of 9
** Option: 0 "I am the King of Naples!:
*** Changes stability by -2
*** Random owned province:
**** Spawns 2 revolt size of noble rebels
*** 0 "France:
**** Adds the opinion modifier "0 "Angevine Claims Rejected" towards our country
** Option: 0 "Abdicate in favor of [FRA.Monarch.GetTitle] [FRA.Monarch.GetName]!:
*** 0 "France:
**** Gets the country event:
***** ID is flavor_nap.2
**** Creates a union with 0 "Naples
* Gets the country event:
** ID is flavor_nap.2
** title = 0 "The Abdication of [NAP.Monarch.GetTitle] [NAP.Monarch.GetName]
** desc = 0 "The Barons of Naples have conspired and threatened the [NAP.Monarch.GetTitle] [NAP.Monarch.GetName], so that he has been forced to abdicate. Since we have claims on the throne, they have offered us the Crown of Naples.
** picture = COURT_eventPicture
** fire_only_once = yes
** is_triggered_only = yes
** Option: 0 "Glory to France!:
*** Changes prestige by 10
* Gets the country event:
** ID is flavor_nap.3
** title = 0 "Renaissance in Naples
** desc = 0 "The great city of Naples became one of the most important centers for the Renaissance in Italy. Brilliant men, like Jacopo Sannazaro, Fransesco Laurana, Angelo Poliziano and Antonello da Messia ushered in a new age of culture and learning.
** picture = IMPORTANT_STATUE_eventPicture
** fire_only_once = yes
** Trigger:
*** Any of the following:
**** Has the country flag naples_renaissance_flag
**** All of the following:
***** has_mission_false = emp_nap_renaissance_city
***** Any of the following:
****** Country is 0 "Naples
****** Country is TTS
***** Year is at least 1460
***** Year is less than 1530
***** Stability is at least 3
***** Is not at war
** Mean time to happen
*** Base mean time to happen of 4 months
** Option: 0 "An age of Culture!:
*** Changes prestige by 10
*** If:
**** Limited to:
***** has_completed_all_reforms_trigger_false = yes
